trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
220,False,"{'a': 0.4, 'e': 0.011741853360782626}",20,11,17.0285909751769,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.4, 'e': 0.011507016293566973}",25,11,21.26325351495903,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.4, 'e': 0.011276875967695634}",25,17,13.481005109724338,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.4, 'e': 0.01105133844834172}",25,2,43.1011880850204,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.4, 'e': 0.010830311679374887}",20,0,18.553558085026427,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
225,False,"{'a': 0.4, 'e': 0.010613705445787387}",25,18,14.164764809590903,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.4, 'e': 0.01040143133687164}",20,12,14.74610046516196,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.4, 'e': 0.010193402710134207}",30,12,31.341545976798194,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.4, 'e': 0.009989534655931522}",30,15,29.901007463117327,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,13,13.583379790548872,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,12.042552885690226,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,6,26.511231590898536,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,13,28.007472752985503,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,23,13.379268281082748,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,12,14.920038129664665,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,17.685366091893233,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,16,21.414093800914458,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,31.571575159537318,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,11,27.101885260188457,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
